Field,Value
Device Name,Philips DreamStation CPAP
Manufacturer,Philips Healthcare
Device Type,Sleep Therapy Equipment
Models Affected,"DreamStation Auto CPAP, DreamStation Go, BiPAP Auto, SystemOne REMstar"
Devices in Market,3-4 million worldwide
,
FDA Recall Date,2021-06-14
First Lawsuit Filed,2021-07-01
MDL Established,2021-12-16
MDL Number,3014
MDL Court,W.D. Pennsylvania
Current Plaintiffs,"700,000+"
Estimated Settlement,$5-15 billion
,
Primary Problem,Foam degradation releasing toxic particles
Health Risks,"Cancer, respiratory damage, toxic exposure"
Affected Population,Sleep apnea patients using devices 2009-2021
